,revenue 2014,revenue 2013,revenue 2012,revenue 2011,assets 2014,assets 2013,assets 2012,assets 2011,employees 2014,employees 2013,employees 2012,employees 2011
ECOBANK GHANA LIMITED,268256742,268300463,225005318,151453727,1802349310,2133755064,1823441476,1375158357,1463,1465,1430,890
GCB BANK LIMITED,264696798,262220008,225917020,188887459,1330948558,1547648228,1585713287,1586822985,1944,2083,2169,2273
BARCLAYS BANK of GHANA LTD.,148518615,176234551,151835799.2,126948728,931642304,1057322304,1083327591,1084085714,1180,1172,1220,1220
FIDELITY BANK GHANA LIMITED,105224604,89595912,77191826.54,64539484,979673115,768914114,657090362,495548288,2100,1914,1868,1163
STANBIC BANK GHANA LIMITED,135126949,137401368,118378867.3,98975648,1143261494,1332741403,1365520738,1366476344,741,701,701,701
STANDARD CHARTERED BANK GHANA LIMITED,163039637,190938642,150143616,140173495,1095700675,1358344586,1271640416,1271242845,1196,1048,1047,942
CAL BANK LIMITED,101585286,99631367,70840425,45760723,848546728,710942748,618539889,522001943,737,566,516,470
ZENITH BANK (GHANA) LIMITED,111836063,92635457,79810562.91,66728989,960409666,873011844,746049082,562636993,634,634,634,634
ACCESS BANK (GHANA) LIMITED,74330400,66919547,57654886.23,48204801,537148474,450480923,384967147,290325078,487,422,411,255
UNIBANK (GHANA) LTD,57545037,56239093,48453084.46,40511246,670975756,590440927,504572663,504414911,646,496,452,411
HFC BANK (GHANA) LTD,62992452,58955911,38471276,37019672,419803434,454095923,316609572,280748795,939,723,642,584
GUARANTY TRUST BANK GHANA LIMITED,51472945,58689093,50563894.84,42276078,362833075,426277285,436761754,437067405,410,374,374,374
UT BANK LIMITED,44858986,56624093,55671808,50923574,508870791,607425473,524949464,459763954,710,582,582,582
PRUDENTIAL BANK LIMITED,43001202,48326820,41636224.29,34811722,349802966,379424557,388756663,389028719,832,756,756,756
FIRST ATLANTIC BANK LIMITED,22832768,19295910,16624491.93,13899608,279551878,199120460,170162224,128328771,307,215,210,131
CITY INVESTMENTS COMPANY LTD,4703676,4859546,4186766.94,3500523,102203089,112660458,115431389,115512169,46,39,39,39
MERIDIAN MARSHALLS HOLDING LIMITED,443683,271879,234238,195845,2247750,3139941,3217169,3219420,42,42,42,42
