,Company name,"Total assets
m USD
2014","Total assets
m USD
2013","Total assets
m USD
2012","Total assets
m USD
2011","Operating
revenue
(Turnover)
m USD
2014","Operating
revenue
(Turnover)
m USD
2013","Operating
revenue
(Turnover)
m USD
2012","Operating
revenue
(Turnover)
m USD
2011","Number of employees
Last avail. yr","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011"
1.,JPMORGAN CHASE & CO,-1,-1,-1,-1,-1,-1,-1,-1,225000,-1,-1,-1,-1
2.,AMERICAN EXPRESS CO,-1,-1,-1,-1,-1,-1,-1,-1,62500,-1,-1,-1,-1
3.,CITIGROUP INC,-1,-1,-1,-1,-1,-1,-1,-1,225000,-1,-1,-1,-1
4.,CITICORP HOLDINGS INC.,-1,-1,-1,-1,-1,-1,-1,-1,184489,-1,-1,-1,-1
5.,MACANDREWS & FORBES INC,-1,-1,-1,-1,-1,-1,-1,-1,17500,-1,-1,-1,-1
6.,BANK OF NEW YORK MELLON CORP,-1,-1,-1,-1,-1,-1,-1,-1,62500,-1,-1,-1,-1
7.,CYPRESS GROUP LLC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
8.,CERBERUS CAPITAL MANAGEMENT LP,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
9.,CITIGROUP GLOBAL MARKETS HOLDINGS INC,412264,411509,-1,-1,11075,9692,-1,-1,-1,-1,-1,-1,-1
10.,BANK of NEW YORK MELLON (THE),304166,296626,282443,256205,10214,9556,9544,9400,34143,33786,34822,33742,32616
11.,TAUNUS CORPORATION,-1,-1,-1,354737,-1,-1,-1,9109,8652,-1,-1,-1,8652
12.,WARBURG PINCUS LLC,-1,-1,-1,-1,-1,-1,-1,-1,1500,-1,-1,-1,-1
13.,NIELSEN HOLDINGS PLC,-1,-1,-1,-1,-1,-1,-1,-1,37500,-1,-1,-1,-1
14.,HSBC NORTH AMERICA INC,-1,-1,-1,-1,-1,-1,-1,-1,17335,-1,-1,-1,-1
15.,HSBC NORTH AMERICA HOLDINGS INC.,290100.702,290013.881,313680.754,329088.434,5992.113,6948.075,6658.4,7706.586,13505,14467,14907,15792,22933
16.,MANUFACTURERS AND TRADERS TRUST COMPANY,95920.564,84362.333,82086.021,76887.082,4215.875,4327.816,4076.304,3864.435,16481,14726,14777,13820,14509
17.,MUFG AMERICAS HOLDINGS CORPORATION,113678.09,105900.02,96992.464,89677.054,3990.814,3596.46,3422.167,3289.885,12162,12455,10901,11476,10437
18.,SPDR S&P 500 ETF,180809.8904,145469.719,118869.7975,81366.80257,3289.9284,2933.20569,2141.86605,1787.99369,-1,-1,-1,-1,-1
19.,GOLDMAN SACHS BANK USA,118214,105616,118536,103790,3181,3344,3249,3565,429,353,199,241,295
20.,APOLLO ADVISORS LP,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
21.,HSBC USA INC,-1,-1,-1,-1,-1,-1,-1,-1,7500,-1,-1,-1,-1
22.,JLL PARTNERS INC,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1
23.,SIGNATURE BANK CORP,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
24.,ETRADE FINANCIAL CORP,-1,-1,-1,-1,-1,-1,-1,-1,3500,-1,-1,-1,-1
25.,KPS CAPITAL PARTNERS LP,-1,-1,-1,-1,-1,-1,-1,-1,7500,-1,-1,-1,-1
26.,RED APPLE GROUP INC,-1,-1,-1,-1,-1,-1,-1,-1,7500,-1,-1,-1,-1
27.,PATRIARCH PARTNERS LLC,-1,-1,-1,-1,-1,-1,-1,-1,75,-1,-1,-1,-1
28.,CIT GROUP INC,-1,-1,-1,-1,-1,-1,-1,-1,3500,-1,-1,-1,-1
29.,PERRY CAPITAL LLC,-1,-1,-1,-1,-1,-1,-1,-1,75,-1,-1,-1,-1
30.,M & T BANK CORP,-1,-1,-1,-1,-1,-1,-1,-1,17500,-1,-1,-1,-1
31.,CFS BANK,-1,-1,-1,-1,-1,-1,-1,-1,3500,-1,-1,-1,-1
32.,MOELIS & COMPANY HOLDINGS LP,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
33.,PUGET HOLDINGS LLC,-1,-1,-1,-1,-1,-1,-1,-1,3500,-1,-1,-1,-1
34.,DEUTSCHE BANK TRUST CORPORATION,55541.2,66926,74148,-1,2383,2430,2373,-1,2628,2473,2469,2532,-1
35.,NATWEST HOLDINGS INC.,-1,-1,-1,-1,-1,-1,-1,-1,9032,-1,-1,-1,-1
36.,DEUTSCHE BANK TRUST COMPANY AMERICAS,53547,55641,56397,51180,1531,1713,1752,1742,737,700,679,821,886
37.,FIRST NIAGARA BANK NATIONAL ASSOCIATION,38494.804,37576.781,36871.28,32740.446,1446.957,1517.531,1430.752,1157.02,5428,5572,5807,5927,4827
38.,CIBC DELAWARE HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,1775,-1,-1,-1,-1
39.,UNITED NATIONS FEDERAL CREDIT UNION,41903.13681,39700.69861,37905.9652,35298.05616,1310.92871,1290.51954,1273.52709,1237.67083,427,427,405,367,351
40.,US TRUST CORPORATION,-1,-1,-1,-1,-1,-1,-1,-1,2446,-1,-1,-1,-1
41.,PROSPECT CAPITAL CORPORATION,6477.269,4448.217,2255.254,1549.317,712.291,576.336,320.91,169.476,-1,-1,-1,-1,-1
42.,LIFETIME HEALTHCARE INC,-1,-1,-1,-1,-1,-1,-1,-1,7500,-1,-1,-1,-1
43.,NEW YORK COMMUNITY BANCORP INC,-1,-1,-1,-1,-1,-1,-1,-1,3500,-1,-1,-1,-1
44.,KENNER & CO INC,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
45.,MUNICIPAL CREDIT UNION,-1,-1,-1,-1,-1,-1,-1,-1,1500,-1,-1,-1,-1
46.,METROMEDIA CO,-1,-1,-1,-1,-1,-1,-1,-1,37500,-1,-1,-1,-1
47.,RENCO GROUP INC,-1,-1,-1,-1,-1,-1,-1,-1,17500,-1,-1,-1,-1
48.,DYSON-KISSNER-MORAN CORP,-1,-1,-1,-1,-1,-1,-1,-1,3500,-1,-1,-1,-1
49.,GRANITE CAPITAL HOLDINGS,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
50.,VESTAR ASSOCIATES III LP,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
51.,QBE HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
52.,"KCP HOLDCO, INC.",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
53.,CAPITAL COMMUNICATIONS FEDERAL CREDIT UNION,11426.43352,10567.98782,9798.43149,9061.28785,625.27631,601.60894,636.00571,538.38932,303,303,280,262,238
54.,NEW YORK COMMUNITY BANK,44281.869,43047.727,41313.279,39468.72,1240.726,1298.339,1386.323,1342.877,2088,2084,2083,2175,2118
55.,POLISH & SLAVIC FEDERAL CREDIT UNION,16113.01245,15509.05327,15186.84923,14347.61954,493.58709,466.14298,445.09844,467.42339,274,274,270,270,294
56.,LADDER CAPITAL CORP,5814.235,3489.06327,2629.02986,2654.3889,374.6505,360.07904,328.21944,225.08373,73,66,60,-1,-1
57.,"BESSEMER TRUST COMPANY, NATIONAL ASSOCIATION",2427.356,2310.663,2582.953,2068.28,410.759,383.727,318.532,319.575,446,448,423,401,396
58.,THE DEPOSITORY TRUST COMPANY,2779.028,2944.532,3573.79,3551.202,385.136,381.459,379.597,389.156,1080,1106,899,886,958
59.,USALLIANCE FEDERAL CREDIT UNION,9392.35226,8555.94124,8031.38256,7584.39383,388.02684,312.40175,291.81333,246.82698,227,227,195,192,170
60.,QUORUM FEDERAL CREDIT UNION,8705.22924,7789.02274,7469.85664,6941.36971,380.33457,352.39098,308.87952,283.90065,122,122,117,115,121
61.,THINKORSWIM GROUP INC.,-1,-1,-1,-1,-1,-1,-1,-1,698,-1,-1,-1,-1
62.,EMIGRANT BANK,6313.603,6431.976,9943.641,7970.635,275.104,431.396,316.835,260.991,573,570,571,902,572
63.,M & T BANK NATIONAL ASSOCIATION,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1
64.,ULSTER SAVINGS BANK,-1,-1,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1
65.,NBT BANCORP INC,-1,-1,-1,-1,-1,-1,-1,-1,1500,-1,-1,-1,-1
66.,UTRECHT-AMERICA HOLDINGS INC,-1,-1,-1,-1,-1,-1,-1,-1,750,-1,-1,-1,-1
